 श्रावकभूमिः (श्भ्_स्ह्: ५)	ཉན་ཐོས་ཀྱི་ནི་ས་ཞེས་བྱ་༎
 अयम्बितर्कस्तदनुबन्धानुचारी व्यग्रचार्येवालम्बने सूक्ष्मतरो मनोजल्पः विहारः ।	དམིགས་པ་ལ་མི་བརྟན་པར་སྤྱོད་པ་དེ་དང་འབྲེལ་བའི་རྗེས་སུ་སྤྱོད་པའི་ཡིད་ལ་རྗོད་པ་ཤིན་ཏུ་ཕྲ་བ་གང་ཡིན་པ་དེ་ནི་དཔྱོད་པ་ཞེས་བྱ་སྟེ་།
 एते पुनर्वितर्कविहा(चा)	རྟོག་པ་དང་། དཔྱོད་པ་དེ་དག་ཀྱང་སེམས་ལས་བྱུང་བ་སྟེ་།
 राश्चै तसिकाश्चेतस्युत्पद्यमाना उत्पद्यन्ते । सहभुवः संप्रयुक्ता[ः] । एकालम्बनवृत्तयः ।	སེམས་སྐྱེས་ན་སྐྱེ་བར་འགྱུར་ཞིང་ལྷན་ཅིག་འབྱུང་བ་ན་མཚུངས་པར་ལྡན་པ་དུས་གཅིག་ཏུ་འཇུག་པ་ཡིན་ནོ་༎ 
 एवमेते अध्यात्ममुत्पद्यन्ते । बाह्यायतनसंगृहीताश्च ।	དེ་ལྟར་ན་དེ་དག་ནི་ནང་ནས་སྐྱེས་པ་དང་། ཕྱི་རོལ་གྱི་སྐྱེ་མཆེད་དུ་རྟོགས་པ་ཡིན་ཏེ་།
 सर्व एव चातीता, अनागतप्रत्युत्पन्ना,	དེ་དག་ཐམས་ཅད་ནི་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་དུས་རྣམས་སུ་ཡང་།
 हेतुसमुत्पन्नाः, प्रतीत्यसमुत्पन्नाः, आकायिकास्तावत्कलिकाः ।	རྒྱུ་ལས་བྱུང་བརྟེན་ཅིང་འབྲལ་པར་འབྱུང་བ་བྱུང་ནས་འཇིག་པ་ཀུན་མི་རིང་བ་། ཡུན་རིང་དུ་མི་གནས་པ་།
 इत्वरप्रत्युपस्थायिनश्चित्तसंक्षोभकरा,	སེམས་ཀུན་དུ་འཁྲུག་པར་བྱེད་པ་། ག-ཡོ་བར་བྱེད་པ་།
 इंजका अप्रशान्ताकारेण वर्तन्ते ।	རབ་ཏུ་མ་ཞི་བའི་རྣམ་པས་འཇུག་པ་ཡིན་ནོ་༎
 उपरिमां भूमिमारभ्य दुःखविहारानुगतत्वात्कुष्णपक्ष्या कामविवेकप्रीतिसुखमेवानुशंसानुगता भूमिश्चैषा तादृशी प्रकृत्या यत्र स्थितस्य नित्यं ध्रुवं ध्रुवकालं, सवितर्कः, सविचारः,	ས་དེའི་རང་བཞིན་ནི་ས་གོང་མ་ལ་ལྟོས་ན་། སྡུག་བསྔལ་བར་གནས་པའི་ཕྱིར་ནག་པོའི་ཕྱོགས་ཡིན་ལ་། འདོད་པ་དག་ལས་དབེན་པ་ལས་སྐྱེས་པའི་བདེ་བའི་ཕན་ཡོན་ཆུང་ཟད་དང་ལྡན་པ་ཡང་ཡིན་ཏེ་། དེ་ལ་གནས་པ་ལ་རྟག་པ་རྟག་པའི་དུས་དང་། ཐེར་ཟུག་ཐེར་ཟུག་གི་དུས་སུ་སེམས་ཀྱི་སྤྱོད་པ་རྟོག་པ་དང་བཅས་པ་དང་། དཔྱོད་པ་དང་བཅས་པ་འབྱུང་བར་འགྱུར་བས་ཞི་བ་བས་རབ་ཏུ་ཞི་བ་ལྟ་བུ་མ་ཡིན་ཏེ་། 
 चित्तप्रचारः प्रवर्तते । न शान्तप्रशान्त इत्येवमादिभिराकारैर्वितर्केष्वौदारिकलक्षणं प्रतिसंवेदयते ।	དེ་ལྟར་རྣམ་པ་དེ་དག་གིས་རྟོག་པ་དག་ལ་རགས་པའི་མཚན་ཉིད་དུ་སོ་སོར་རྟོག་པར་བྱེད་དོ་༎
 (श्भ्_स्ह् ४४९) सर्वशो नास्त्येतदौदारिकलक्षणमवितर्केद्वितीये ध्याने इत्यतः शान्तं द्वितीयं ध्यानमस्यौदारिकत्वस्यापगमात् ।	རྟོག་པ་མེད་པའི་བསམ་གཏན་གཉིས་བ་ལ་ནི་རྣམ་པ་ཐམས་ཅད་དུ་རགས་པའི་མཚན་ཉིད་དེ་ལྟར་བུ་མེད་དེ་། དེའི་ཕྱིར་བསམ་གཏན་གཉིས་པ་ནི་རགས་པ་དེ་ཉིད་དང་བྲལ་བའི་ཕྱིར་ཞི་བ་ཡིན་ནོ་༎
 शेषो(षे) मनस्कारा द्वितीयध्यानसमापत्तये यथा(पि) योगं पूर्ववद्वेदितव्यं ।	བསམ་གཏན་གཉིས་པ་ལ་སྙོམས་པར་འཇུག་པ་ཡིད་ལ་བྱེད་པ་ལྷག་མ་རྣམས་ནི་སྔ་མ་བཞིན་དུ་ཅི་རིགས་པར་རིག་པར་བྱ་སྟེ་།
 एवं भूमौ भूमौ यावन्नैवसंज्ञानासंज्ञायतनसमापत्तये यथायोगं सप्त मनस्कारा वेदितव्याः ।	ཡོད་མིན་མེད་མིན་སྐྱེ་མཆེད་ཀྱི་བར་གྱི་ས་དང་ས་དག་ལ་སྙོམས་པར་འཇུག་པའི་ཡིད་ལ་བྱེད་པ་བདུན་པོ་དག་ཀྱང་ད་བཞིན་དུ་ཅི་རིགས་པར་བྱའོ་༎ 
 औदारिकलक्षणं पुनः सर्वास्वधरिमासु भूमिषु यावदाकिंचन्यायतनात् समासेन द्विविधं वेदितव्यं । दुःखतरं विहावितो(रिता)	ཅི་ཡང་མེད་པའི་སྐྱེ་མཆེད་མན་ཆད་ཀྱི་ས་འོག་མ་ཐམས་ཅད་ལ་རགས་རིགས་པར་བྱའོ་༎ ༄༡༦༩ཨ་༌་༎ བྱ་སྟེ་། ། ཆེས་ཚེ་ཐུང་བར་གནས་པ་སྟེ་། དེ་ལྟར་རགས་པའི་མཚན་ཉིད་གཉིས་པོ་དེ་དག་རིགས་པར་བྱའོ་༎ ༄༡༦༩ཨ་༌་༎ བྱ་སྟེ་། ། ཆེས་ཚེ་ཐུང་བར་གནས་པ་སྟེ་། དེ་ལྟར་རགས་པའི་མཚན་ཉིད་གཉིས་པོ་དེ་དག་གཞི་དྲུག་པོ་དེ་དག་གིས་ཅི་རིགས་པར་ཡོངས་རིགས་པར་བྱའོ་༎ 
 चाधर्मू(धोभू) मीनामप्रशान्तविहारिता च ।	༄༡༦༩ཨ་༌་༎ བྱ་སྟེ་། 
 अल्पायुष्कतरा च ।	། ཆེས་ཚེ་ཐུང་བར་གནས་པ་སྟེ་།
 इत्येतद् द्विविधमौदारिकलक्षणं । षड्भिर्वस्तुभिर्यथायोगं पर्येषते ।	དེ་ལྟར་རགས་པའི་མཚན་ཉིད་གཉིས་པོ་དེ་དག་གཞི་དྲུག་པོ་དེ་དག་གིས་ཅི་རིགས་པར་ཡོངས་སུ་ཚོལ་བར་བྱེད་དོ་༎
 यस्या यस्या भूमेर्वैराग्यं कर्त्तुकामो भवत्युपरिष्टाच्च यथायोगं शान्तलक्षणं । यावत्प्रयोगनिष्ठाफलान्मनस्कारात्तत्र विविक्तं कामैरिति ।	སྦྱོར་བ་མཐར་ཐུག་པའི་འབྲས་བུའི་ཡིད་ལ་བྱེད་པ་མན་ཆད་ཀྱི་ས་གང་དང་གང་དག་ལས་འདོད་ཆགས་དང་བྲལ་བར་འདོད་པའི་ས་གོང་མ་རྣམས་ལ་ནི་ཅི་རིགས་པར་ཞི་བའི་མཚན་ཉིད་དུ་སོ་སོར་རྟོག་པར་བྱེད་དོ་༎ འདོད་པ་དག་ལས་དབེན་པ་སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་ལས་དབེན་པ་རྟོག་པ་དང་བཅས་པ་། དཔྱོད་པ་དང་བཅས་པ་དབེན་པ་ལས་སྐྱེས་པའི་དགའ་བ་དང་བདེ་བ་ཅན་བསམ་གཏན་དང་པོ་བསྒྲུབས་ཏེ་གནས་སོ་ཞེས་གསུངས་པ་དེ་པ་། 
 द्विविधाः कामाः क्लेशकामा वस्तुकामाश्च [।	ལ་། འདོད་པ་དག་ཅེས་བྱ་བ་ནི་རྣམ་པ་གཉིས་ཏེ་། ཉོན་མོངས་པའི་འདོད་པ་དང་། དངོས་པོའི་འདོད་པའོ་༎
 ] (श्भ्_स्ह् ४५०) कामवितर्को ऽपि द्विविधः ।	འདོད་པ་དག་ལས་དབེན་པ་ཞེས་བྱ་བ་ཡང་རྣམ་པ་གཉིས་ཏེ་།
 संप्रयोगविवेक आलम्बनविवेकश्च [।	མཚུངས་པར་ལྡན་པ་ལས་དབེན་པ་དང་། དམིགས་པ་ལས་དབེན་པའོ་༎
 ] विविक्तं पापकैरकुशलैर्धर्मैरिति ।	སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་ལས་དབེན་པ་ཞེས་བྱ་བ་ནི་འདོད་པའི་རྒྱུ་ལས་བྱུང་བ་སྟེ་། 
 उपक्लेशाः कामहेतुका अकुशला धर्मास्तद्यथा कायदुश्चरितं, वाग्दुश्चरितं, मनोदुश्चरितं । दण्डादानं शस्त्रादानं ।	ཉེ་བའི་ཉོན་མོངས་པ་མི་དགེ་བའི་ཆོས་འདི་ལྟ་སྟེ་།
 कलहभण्डनविग्रहविवादशाठ्यवञ्चननिकृतिमृषावादाः सम्भवन्ति ।	ལུས་ཀྱིས་ཉེས་པར་སྤྱད་པ་དང་། ངག་གིས་ཉེས་པར་སྤྱད་པ་དང་། ཡིད་ཀྱིས་ཉེས་པར་སྤྱད་པ་དང་། མཚོན་འབྱིན་པ་དང་། དབྱིག་པ་འབྱིན་པ་དང་། འཐབ་མོ་དང་། མ་ཚང་འདྲུ་བ་དང་། རྩོད་པ་དང་། འགྱེད་པ་དང་། ག-ཡོ་བྱེད་པ་དང་། སླུ་བ་དང་། སྙིང་རྗེ་མེད་པ་དང་། བརྫུན་དུ་སྨྲ་བ་ཀུན་དུ་འབྱུང་བ་གང་དག་ཡིན་པ་དེ་དག་སྟེ་།
 तेषाम्प्रहाणाद्विविक्तं पापकैरकुशलैर्धर्मैरवितर्कविचारेष्वदोषदर्शनात्स्वभूमिकैर्वितर्कविचारैः कामप्रातिपक्षिकैः कुशलैः [।	དེ་དག་སྤངས་པའི་ཕྱིར་སྡིག་པ་མི་དགེ་བའི་ཆོས་རྣམས་ལས་དབེན་པ་ཞེས་བྱའོ་༎ རྟོག་པ་དང་བཅས་པ་། དཔྱོད་པ་དང་བཅས་པ་ཞེས་བྱ་བ་ནི་རྟོག་པ་དང་དཔྱོད་པ་དག་ལ་སྐྱོན་དུ་མི་ལྟ་བའི་ཕྱིར་འདོད་བའི་གཉེན་པོ་རང་གིས་པའི་རྟོག་པ་དང་། 
 ] सवितर्कं सविचारं प्रयोगनिष्ठो मनस्कारः कामविवेकं (कः)	དཔྱོད་པ་དགེ་བ་དག་དང་ལྡན་པས་ན་། རྟོག་པ་དང་བཅས་པ་དཔྱོད་པ་དང་བཅས་པ་ཞེས་བྱའོ་༎ དབེན་པ་ལས་ཞེས་བྱ་བ་ནི་འདོད་པ་གང་དག་ལས་དབེན་པ་སྦྱོར་བ་མཐར་ཐུག་པའི་ཡིད་ལ་བྱེད་པ་ལས་སོ་༎ སྐྱེས་པ་ཞེས་བྱ་བ་ནི་།
 तस्यानन्तरमुत्पन्नं(न्नः) । तद्धेतुकं (कस्) तत्प्रत्ययं (यस्)	རྒྱུ་དེ་དང་རྐྱེན་དེས་དེའི་མཇུག་ཐོགས་ཁོ་ནར་ཡང་དག་པར་སྐྱེས་པ་ལ་བྱ་སྟེ་། དེའི་ཕྱིར་དབེན་པ་ལས་སྐྱེས་པ་ཞེས་༄༡༦༩བ་བྱ་བ་གསུངས་སོ་༎
 तेनाह विवेकजमीप्सिताभिलषितार्थसंप्राप्तः, प्रीतौ वा दोषदर्शनात् ।	དགའ་བ་དང་བདེ་བ་ཅན་ཞེས་བྱ་བ་དེ་ནི་འདོད་པ་དང་རེ་བའི་དོན་ཐོབ་ཅིང་དགའ་བ་ལ་སྐྱོན་དུ་མི་ལྟ་བའི་ཕྱིར་དང་། གནས་ངན་ལེན་ཐམས་ཅད་དང་བྲལ་ཞིང་།
 सर्वदौष्ठुल्यापगमाच्च विपुलप्रश्रब्धि चित्तकायकर्मण्यतया प्रीतिसुखमनुपूर्वेण गणयतः ।	སེམས་དང་ལུས་ལས་སུ་རུང་བ་རྒྱ་ཆེན་པོ་དང་ལྡན་པས་ན་། དགའ་བ་དང་བདེ་བ་ཅན་ཞེས་བྱའོ་༎
 तत्प्रथमतश्च कामधातूच्चलितात् प्रथमं सम्यगालम्बनोपनिध्यानादेकाग्रस्मृत्युपनिबन्धाद्ध्यानं प्रयोगनिष्ठाफलत्वादुपसम्पद्य ।	བསམ་གཏན་ཞེས་བྱ་བ་ནི་དམིགས་པ་ལ་ཡང་དག་པར་ཉེ་བར་གཏོད་པ་དང་། དྲན་པ་རྩེ་གཅིག་ཏུ་ཉེ་བར་གཏོད་པའི་ཕྱིར་བསམ་གཏན་ཞེས་བྱའོ་༎ དང་པོ་ཞེས་བྱ་བ་ནི་དང་པོར་འདོད་པའི་ཁམས་ནས་བསྐྱོད་པའི་གོ་རིམས་བཞིན་དུ་བགྲངས་པའི་ཕྱིར་དང་པོ་ཞེས་བྱའོ་༎
 उत्तरत्र च भावनाबहुलीकारनिष्पादनात् [। ] (श्भ्_स्ह् ४५१) निकामलाभी,	བསྒྲུབས་ཏེ་ཞེས་བྱ་བ་ནི་སྦྱོར་བ་མཐར་ཐུག་པའི་འབྲས་བུ་ཡིན་པའི་ཕྱིར་བསྒྲུབས་ཏེ་ཞེས་བྱའོ་༎ གནས་སོ་ཞེས་བྱ་བ་ནི་ཕྱིས་བསྒོམ་པ་ལན་མང་དུ་བསྒྲུབས་པས་ཅི་འདོད་པ་བཞིན་ཐོབ་༎ པ་དང་། 
 अकृच्छ्रलाभी, अकिसर(अकृत्स्न?)	དཀའ་བ་མེད་པར་ཐོབ་པ་དང་། ཚེགས་མེད་པར་ཐོབ་པའི་ཕྱིར་།
 लाभी, तथा ध्यानसमापत्त्या रात्रिमतिनामयति । दिवसमपि यावदाकांक्षमाणः सप्तरात्रिंदिवसानि तेनाह विहरतीति ।	བསམ་གཏན་གྱི་སྙོམས་པར་འཇུག་པ་དེས་མཚན་མོ་དང་། ཉིན་མོ་དང་། ཉིན་མཚན་དང་། ཉིན་མཚན་བདུན་གྱི་བར་རམ་། ཇི་སྲིད་འདོད་པའི་བར་དུ་འདའ་བར་བྱེད་པས་ན་གནས་སོ་ཞེས་བྱའོ་༎ དེ་རྟོག་པ་དང་དཔྱོད་པ་དང་བྲལ་ཞིང་ནང་ཡོངས་སུ་དང་སྟེ་། སེམས་ཀྱི་རྒྱུད་གཅིག་ཏུ་གྱུར་པས་། རྟོག་པ་མེད་པ་། དཔྱོད་པ་མེད་པ་། ཏིང་ངེ་འཛིན་ལས་སྐྱེས་པའི་དགའ་བ་དང་བདེ་བ་ཅན་བསམ་གཏན་གཉིས་པ་བསྒྲུབས་ཏེ་གནས་སོ་ཞེས་གསུངས་པ་དེ་ལ་རྟོག་པ་དང་། དཔྱོད་པ་དང་བྲལ་ཞིང་ནང་ཡོངས་སུ་དང་སྟེ་ཞེས་བྱ་བ་ནི་རྟོག་པ་དང་བཅས་པ་།
 सवितर्कसविचारविविक्तेभ्यश्चित्तम्व्यावर्तयित्वा (त्तं व्यावर्त्य)	དཔྱོད་པ་དང་བཅས་པའི་ཏིང་ངེ་འཛིན་གྱི་མཚན་མ་དག་ལས་སེམས་རྣམ་པར་བཟློག་ནས་།
 अवितर्काविचारसमाधिनिमित्तेषूपनिबध्नाति ।	རྟོག་པ་མེད་པ་དང་། དཔྱོད་པ་མེད་པའི་ཏིང་ངེ་འཛིན་གྱི་མཚན་མ་དག་ལ་ལེགས་པར་གཏོད་ཅིང་།
 व्यग्रचारिण आलम्बनाद्विवेच्य अव्यग्रचारिण्यालम्बने एकधर्मतया शान्तं प्रसन्नं चित्तं प्रवर्त्तते ।	དམིགས་པ་ལ་མི་བརྟན་པར་སྤྱོད་པ་ལས་རྣམ་པར་ཕྲལ་ཏེ་། དམིགས་པ་ལ་བརྟན་པར་སྤྱོད་པ་ལ་དང་གཅིག་གིས་སེམས་ཞི་བ་དང་དང་བར་འཇུག་པར་བྱེད་ཅིང་རྣམ་པར་འཇོག་པར་བྱེད་པས་ན་། དེའི་ཕྱིར་དེ་རྟོག་པ་དང་དཔྱོད་པ་དང་བྲལ་ཞིང་ནང་ཡོངས་སུ་དང་སྟེ་ཞེས་བྱ་བ་གསུངས་སོ་༎ སེམས་ཀྱི་རྒྱུད་གཅིག་ཏུ་གྱུར་པས་ཞེས་བྱ་བ་ནི་། དེས་བསྒོམ་པ་ཡོངས་སུ་གོམས་པར་བྱ་བའི་ཕྱིར་།
 व्यवस्थापयति । तेनाह वितर्कविचाराणां व्युपशमादध्यात्मसंप्रसादनात्सभावनाभ्यासात्तस्यैवावितर्काविचारस्य समाधेः, वितर्कविचारस्य समाधेः,	རྟོག་པ་དང་དཔྱོད་པ་མེད་པའི་ཏིང་ངེ་འཛིན་དེ་ཉིད་ལ་རྟོག་པ་དང་དཔྱོད་པས་བར་དུ་གཅོད་ཅིང་སྐབས་སུ་འཆད་པའི་གནས་༄༡༧༠ཨ་༌་༎
 स[च्]छिद्रसान्तरामवस्थामतिक्रम्य निश्छिद्रनिरन्तरामवस्थां प्राप्नोति ।	སྐབས་ལས་ཡང་དག་པར་འདས་ཏེ་བར་དུ་གཅོད་པ་མེད་པ་དང་། སྐབས་སུ་འཆད་པ་མེད་པའི་གནས་སྐབས་ཐོབ་པས་ན་།
 तेनाह चेतस एकोतीभावात् सर्वेण सर्वं वितर्कविचारप्रहाणादवितर्कमविचारं प्रयोगनिष्ठो मनस्कारः समाधिस्तस्यानन्तरं तद्धेतुकं तंत्प्र(कस्तत्प्र)	དེའི་ཕྱིར་སེམས་ཀྱི་རྒྱུད་གཅིག་ཏུ་གྱུར་པས་ཞེས་བྱ་བ་གསུངས་སོ་༎ རྟོག་པ་མེད་པ་དཔྱོད་པ་མེད་པ་ཞེས་བྱ་བ་ནི་༎ རྟོག་པ་དང་དཔྱོད་པ་དག་རྣམ་པ་ཐམས་ཅད་ཀྱི་ཐམས་ཅད་དུ་སྤངས་པའི་ཕྱིར་རྟོག་པ་མེད་པ་དང་། དཔྱོད་པ་མེད་པ་ཞེས་བྱའོ་། དཔྱོད་པ་མེད་པ་ཞེས་བྱའོ་༎ ཏིང་ངེ་འཛིན་ལས་ཞེས་བྱ་བ་ནི་སྦྱོར་བ་མཐར་ཐུག་པ་ཡིད་ལ་བྱེད་པའི་ཏིང་ངེ་འཛིན་ལས་སོ་༎ སྐྱེས་པ་ཞེས་བྱ་བ་ནི་རྒྱུ་དེ་དང་རྐྱེན་དེས་དེའི་མཇུག་ཐོགས་ཁོ་ནར་ཡང་དག་པར་སྐྱེས་པ་ལ་བྱ་སྟེ་།
 त्ययमुत्प(यौत्प)द्यत इति ।	དེའི་ཕྱིར་ཏིང་ངེ་འཛིན་ལས་སྐྱེས་པ་ཞེས་བྱ་བ་གསུངས་སོ་༎
 तेनाह समाधिजं ईप्सितानिन्दितार्थप्राप्तेः प्रीतौ वा दोषदर्शनात् ।	དགའ་བ་དང་། བདེ་བ་ཅན་ཞེས་བྱ་བ་ནི་འདོད་པ་དང་རེ་བའི་དོན་ཐོབ་ཅིང་དགའ་བ་ལ་སྐྱོན་དུ་མི་ལྟ་བས་། 
 स संप्रहर्षगतं दौर्मनस्यगतं वितर्कविचारप्रथमध्यानक्लेशपक्षसर्वदौष्ठुल्यापगमात्तत्प्रातिपक्षिकप्रश्रब्धिचित्तकायकर्मण्यतासुरवानुगत्वात्	ཡང་དག་པར་རབ་ཏུ་དགའ་བ་དང་ལྡན་ཞིང་། ཡིད་བདེ་བ་དང་ལྡན་པའི་ཕྱིར་དང་བསམ་གཏན་དང་པོའི་རྟོག་པ་དང་། དཔྱོད་པ་དང་། ཉོན་མོངས་པའི་ཕྱོགས་གནས་ངན་ལེན་ཐམས་ཅད་དང་བྲལ་བས་དེའི་གཉེན་པོ་སེམས་དང་ལུས་ཤིན་ཏུ་སྦྱངས་ཤིང་ལས་སུ་རུང་བའི་བདེ་བ་དང་ལྡན་པའི་ཕྱིར་། དགའ་བ་དང་བདེ་བ་ཅན་ཞེས་བྱའོ་༎
 प्रीतिसुखमनुपूर्वेण गणयतो द्वितीयं भवत्येवं सर्वं पूर्ववद् वेदितव्यम् ।	བསམ་གཏན་གཉིས་པ་བསྒྲུབས་ཏེ་གནས་སོ་ཞེས་བྱ་བ་ལ་གཉིས་པ་ཞེས་བྱ་བ་ནི་གོ་རིམས་བཞིན་དུ་བགྲང་བའི་ཕྱིར་རོ་༎ ལྷག་མ་ཐམས་ཅད་ནི་སྔ་མ་བཞིན་དུ་རིག་པར་བྱའོ་༎ དེ་དགའ་བའི་འདོད་ཆགས་དང་བྲལ་བས་བཏང་སྙོམས་ལ་གནས་ཤིང་དྲན་པ་དང་ཤེས་བཞིན་ཅན་ཡིན་ཏེ་། བདེ་བ་ལུས་ཀྱིས་མྱོང་ལ་། འཕགས་པ་རྣམས་ཀྱིས་གང་དེ་ལ་དྲན་པ་དང་ལྡན་པ་བདེ་བ་ལ་གནས་པ་། བཏང་སྙོམས་བའོ་ཞེས་བརྗོད་པ་སྟེ་། དགའ་བ་མེད་པ་བསམ་གཏན་གསུམ་པ་བསྒྲུབས་ཏེ་གནས་སོ་ཞེས་གསུངས་པ་དེ་ལ་། དེ་དགའ་བའི་འདོད་ཆགས་དང་བྲལ་བས་ཞེས་བྱ་བ་ནི་།
 प्रीतिनिमित्तेषु दोषं पश्यति ।	དགའ་བའི་མཚན་མ་དག་ལ་སྐྱོན་དུ་ལྟ་བའི་ཕྱིར་།
 तेनाह प्रीतेर्विरागात् [। ] (श्भ्_स्ह् ४५२) तस्मिंश्च समये द्विविधो ऽस्य चित्तक्षोभकरः अपक्षालो ऽधिगतो भवति ।	དེའི་ཕྱིར་དེ་དགའ་བའི་འདོད་ཆགས་དང་བྲལ་བས་ཞེས་བྱ་བ་གསུངས་སོ་༎
 निःप्रीतिके तृतीयध्याने चित्तं प्रदधतः ।	བཏང་སྙོམས་ལ་གནས་ཤིང་ཞེས་བྱ་བ་ནི་དགའ་བ་མེད་པ་བསམ་གཏན་གསུམ་བ་ལ་སེམས་གཏོད་པར་བྱེད་བ་དེའི་ཚེ་ན་།
 द्वितीये च ध्याने वितर्कविचाराः, एतर्हि च प्रीतिः,	དེའི་སེམས་ཀུན་དུ་འཁྲུག་པར་བྱེད་པའི་སྐྱོན་རྣམ་པ་གཉིས་པོ་བསམ་གཏན་གཉིས་པ་ལ་རྟོག་པ་དང་། དཔྱོད་པ་དང་། ད་ལྟར་༄༡༧༠བ་ཀྱི་དགའ་བ་དག་དང་བྲལ་བས་ན་།
 तेनाह उपेक्षको विहरति ।	དེའི་ཕྱིར་བཏང་སྙོམས་ལ་གནས་ཤིང་ཞེས་བྱ་བ་གསུངས་ཏེ་།
 एतौ हि द्वौ धर्मौ चित्तसंक्षोभकरौ ।	སེམས་ཀུན་དུ་འཁྲུག་པར་བྱེད་པའི་ཆོས་དེ་གཉིས་ནི་།
 निरन्तराया उपेक्षाया विघ्नकारकौ ।	སེམས་རྒྱུན་དུ་བཏང་སྙོམས་སུ་གཞག་པ་ལ་གེགས་བྱེད་པ་ཡིན་པས་ན་། སེམས་ཀུན་དུ་འཁྲུག་པར་བྱེད་པ་ཞེས་བྱའོ་༎
 तत्र प्रथमे ध्याने वितर्कविचारा भवन्ति । येन निरन्तरोपेक्षा न प्रवर्त्तते ।	དེ་ལ་བསམ་གཏན་དང་པོ་ལ་ནི་རྟོག་པ་དང་། དཔྱོད་པ་ཡོད་པས་དེས་ན་རྒྱུན་དུ་བཏང་སྙོམས་ལ་འཇུག་པར་མི་འགྱུར་རོ་༎
 द्वितीये ध्याने प्रीतिर्भवति ।	བསམ་གཏན་གཉིས་པ་ལ་ནི་དགའ་བ་ཡོད་པས་།
 येनात्रापि निरन्तरोपेक्षा न प्रवर्त्तते ।	དེས་ན་དེར་ཡང་རྒྱུན་དུ་བཏང་སྙོམས་ལ་འཇུག་པར་མི་འགྱུར་ཏེ་།
 तेनायं ध्यायी प्रथमद्वितीयेषु(ययोः) ध्यानेषु(नयोः) नास्ति, तेन तृतीये ध्याने उपेक्षको विहरतीत्युच्यते ।	དེ་ལྟ་བས་ན་བསམ་གཏན་དང་པོ་དང་། བསམ་གཏན་གཉིས་བ་དེ་དག་ལ་བཏང་སྙོམས་ཤས་ཆེར་མེད་པས་དེའི་ཕྱིར་བསམ་གཏན་གསུམ་པ་ལ་སྙོམས་པར་ཞུགས་པའི་བསམ་གཏན་པ་དེ་ནི་བཏང་སྙོམས་ལ་གནས་པ་ཞེས་བྱའོ་༎
 स उपेक्षकस्सन्स्तथा(स्संस्तथा) तथोपस्थितस्मृतिर्विहरति । यथा यथा ते प्रीतिसहगताः संज्ञामनसिकाराः समुदाचरन्ति ।	དྲན་པ་དང་ཤེས་བཞིན་ཅན་ཡིན་ཏེ་ཞེས་བྱ་བ་ནི་དེ་བཏང་སྙོམས་ལ་གནས་བ་ན་ཇི་ལྟར་དགའ་བ་དང་ལྡན་པའི་འདུ་ཤེས་ཡིད་ལ་བྱེད་པ་དེ་དག་ཀུན་དུ་འབྱུང་བར་མི་འགྱུར་བ་དེ་ལྟ་དེ་ལྟར་དྲན་པ་ཉེ་བར་བཞག་སྟེ་གནས་པར་བྱེད་དོ་༎
 स चेत्पुनरभावितत्वात् तृतीयस्य ध्यानस्य स्मृतिसंप्रमोषात्कदाचित्कर्हिचित् चित्ते प्रीतिसहगताः संज्ञामनसिकाराः समुदाचरन्ति ।	གལ་ཏེ་བསམ་གཏན་གསུམ་པ་ལེགས་པར་གོམས་པར་མ་བྱས་པས་བརྗེད་ངས་པའི་ཕྱིར་། བརྒྱ་ལ་བརྒྱལ་མ་ན་། དགའ་བད་དང་ལྡན་པའི་འདུ་ཤེས་ཡིད་ལ་བྱེད་པ་དེ་དག་ཀུན་དུ་འབྱུང་བར་གྱུར་ན་།
 तां(तान्) लघु लघ्वेव (श्भ्_स्ह् ४५३) प्रज्ञया प्रतिविध्यति ।	མྱུར་བ་མྱུར་བ་ཁོ་ནར་དེ་དག་ལ་ཤེས་རབ་ཀྱིས་སོ་སོར་རྟོག་པར་བྱེད་།
 सम्यगेव प्रजानाति । उत्पन्नोत्पन्नांश्च नाधिवासयति । प्रजहाति विनोदयति ।	ལེགས་པ་ཁོ་ནར་རབ་ཏུ་ཤེས་པར་བྱེད་ཅིང་བྱུང་ངོ་ཅོག་དང་དུ་མི་ལེན་པར་སྤོང་བར་བྱེད་། 
 व्यन्तीकरोति,	སེལ་བར་བྱེད་།
 चित्तमध्युपेक्षते ।	བྱང་བར་བྱེད་ཅིང་སེམས་བཏང་སྙོམས་སུ་བྱེད་པས་ན་།
 तेनाह स्मृतः संप्रजाना[न] इति । तस्य तस्मिन्समये एवमुपेक्षकस्य विहरता स्मृतस्य संप्रजन्य स्यासेवनान्वयाद्बहुलीकारान्वयात्प्रीतिसहगतं प्रहीयते । तच्चित्तौद्धत्यकरं, निःप्रीतिकं, शान्तं,	དེའི་ཕྱིར་དྲན་པ་དང་ཤེས་བཞིན་ཅན་ཡིན་ཏེ་ཞེས་བྱ་བ་གསུངས་སོ་༏་། བདེ་བ་ལུས་ཀྱིས་མྱོང་བ་ཞེས་བྱ་བ་ནི་།
