 (वैद्य २५८)	༄༣༡༤བ་། །རྒྱ་གར་སྐད་དུ་།
 तव सकाशाद्धर्मं देशयतः देवा नागा यक्षा गन्धर्वा असुरा गरूडाः किन्नरा महोरगा मनुष्यामनुष्याः सर्वे ते संनिपतिताः ।	ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། མི་དང་། ༄༣༧༡ཨ་༌༎ མི་མ་ཡིན་པ་དག་ཁྱོད་ལས་ཆོས་ཉན་ཏེ་།
 तव धर्मश्रवणकाले महावज्रसमये धर्मपर्यायं निर्दिशसि परिमोक्षयसि ।	ཁྱོད་ལ་ཆོས་ཉན་པའི་ཚེ་ཐམས་ཅད་འདུ་བར་བགྱིད་དོ་༎ ཁྱོད་ནི་རྡོ་རྗེ་ཆེན་པོ་དང་མཉམ་པའི་ཆོས་ཀྱི་རྣམ་གྲངས་འཆད་པར་མཛད་དོ་༎
 बहवः सत्त्वा ये संसारे बन्धनबद्धाः ।	སེམས་ཅན་འཁོར་བས་བཅིངས་པའི་བཅིངས་པ་མང་པོ་དག་ཡོངས་སུ་ཐར་བར་མཛད་དོ་༎
 पुण्यवन्तस्ते सत्त्वाः ये ऽस्यां वाराणस्यां महानगर्यां वसन्ति, पश्यन्ति, तव सततं परिग्रहं कुर्वन्ति ।	སེམས་ཅན་གང་ཁོར་མོར་འཇིག་གི་གྲོང་ཁྱེར་ཆེན་པོ་ན་གནས་ཤིང་རྟག་ཏུ་ཡོངས་སུ་སྡུད་པར་མཐོང་བ་དེ་དག་ནི་བསོད་ནམས་དང་ལྡན་པ་ལགས་སོ་༎ 
 दर्शनमात्रेण सर्वपापानि निर्दहसि ।	དེ་མཐོང་མ་ཐག་ཏུ་སྡིག་པ་ཐམས་ཅད་འཕྲོག་པར་མཛད་པ་། དཔེར་ན་།
 यथाग्निर्दहति वनान्तरम्, (वैद्य २९९) एवं त्वं दर्शनेन सर्वपापानि दहसि ।	མེས་ནགས་ཀྱི་འདབ་མ་མྱུར་དུ་འཚིག་པར་བགྱིད་པ་དེ་བཞིན་དུ་ཁྱོད་མཐོང་མ་ཐག་ཏུ་སྡིག་པ་ཐམས་ཅད་འཕྲོག་པར་མཛད་དོ་༎
 जानन्ते तव तथागता अर्हन्तः सम्यक्संबुद्धाः ।	དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱིས་ཀྱང་མཁྱེན་ཏོ་༎
 अन्ये चानेकबोधिसत्त्वकोटीनियुतशतसहस्राणि तव पूजाकर्मण उपसंक्रामन्ति । ब्रह्माविष्णुमहेश्वरचन्द्रादित्यवायुवरुणाग्नयो यमश्च धर्मराजो ऽन्ये च चत्वारो महाराजानः ॥	གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་ཕྲག་དུ་མ་དང་། ཚངས་པ་དང་། འཇུག་སྲེད་དང་། དབང་ཕྱུག་ཆེན་པོ་དང་། ཉི་མ་དང་། ཟླ་བ་དང་། རླུང་གི་ལྷ་དང་། ཆུའི་ལྷ་དང་། མེའི་ལྷ་དང་། ཆོས་ཀྱི་རྒྱལ་པོ་གཤིན་རྗེ་དང་། རྒྱལ་པོ་ཆེན་པོ་བཞི་དག་ཀྱང་ཁྱོད་ལ་མཆོད་པའི་ལས་བྱ་བའི་ཕྱིར་མཆིའོ་༎
 अथे स धर्मभाणकस्तस्यैतदवोचत् - मा त्वं कुलपुत्र कौकृत्यमुत्पादयसि । कति माषाः क्लेषा औपभोगिकाः संसारस्य नैमित्तिकाः प्रजामण्डलस्योत्पादिकाः ।	དེ་ནས་ཆོས་སྨྲ་བ་དེས་དེ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ་༎ རིགས་ཀྱི་བུ་ཁྱོད་འགྱོད་པ་མ་སྐྱེད་ཅིག་། གྲོགས་པོ་། ཉོན་མོངས་པ་ནི་ཆགས་པའོ་༎ སྤྱད་པའོ་༎ འཁོར་བའི་༄༣༧༡བ་མཚན་མའོ་༎ སྐྱེ་དགུའི་འཁོར་ལོ་སྐྱེད་པར་བྱེད་པའོ་༎
 ये च कुलपुत्राः षडक्षरीं महाविद्याराज्ञीं जानन्ते, न च ते रागेण द्वेषेण मोहेन संलिप्यन्ते ।	གང་ཡི་གེ་དྲུག་མའི་རིག་སྔགས་ཆེན་མོ་ཤེས་པ་དེ་ནི་འདོད་ཆགས་དང་། ཞེ་སྡང་དང་། གཏི་མུག་གིས་མི་གོས་ཏེ་། དཔེར་ན་།
 यथा जाम्बूनदस्य सुवर्णस्य न सज्जते मलम्,	ཛམབུའི་ཆུ་བོའི་གསེར་དྲི་མས་མི་གོས་པ་དེ་བཞིན་དུ་།
 एवमेव कुलपुत्र यस्य षडक्षरी महाविद्या कायगता,	རིགས་ཀྱི་བུ་། གང་གི་ལུས་ལ་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཀྱི་རྒྱལ་མོ་ཆེན་མོ་ཐོགས་པ་དེའི་ལུས་ལ་འདོད་ཆགས་དང་། 
 न तस्य कायेन न रागेण न द्वेषेण न मोहेन संलिप्यते ॥	ཞེ་སྡང་དང༏་གཏི་མུག་གིས་མི་གོས་སོ་༎
 अथ सर्वनीवरणविष्कम्भी गाढं पादे परिष्वज्यैनमेतदवोचत् - विकलेन्द्रियस्य चक्षुर्भूतो भव ।	དེ་ནས་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་རྐང་པ་ལ་དམ་དུ་བཟུང་སྟེ་འདི་སྐད་ཅེས་གསོལ་ཏོ་༎ དབང་པོ་ཉམས་པའི་མིག་ཏུ་གྱུར་ཅིག་།
 नष्टमार्गस्योपदर्शको भव ।	ལམ་སྟོར་བ་ལ་ལམ་སྟོན་པར་མཛོད་ཅིག་།
 धर्मपरितृषितस्य धर्मरसेन संतर्पय मे त्वम् ।	བདག་ཆོས་ཀྱིས་སྐོམ་པ་ལ་ཆོས་ཀྱི་རོས་ངོམས་པར་མཛོད་ཅིག་།
 अनुत्तरासम्यक्संबोधिविप्रहीणस्य बोधिबीजं मे ददस्व ।	བདག་ལ་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཀྱི་ས་བོན་སྩོལ་ཅིག་།
 धर्माणामवकाशं ददस्व । सुप्रतिष्ठितरूपाणां कायपरिशुद्धिं ददस्व ।	ཆོས་ཀྱི་སྐབས་དང་ཤིན་ཏུ་གནས་པའི་ཚུལ་གྱི་གནས་ཡོངས་སུ་དག་པ་སྩོལ་ཅིག་།
 अभेद्यानां कुशलानां प्रतिलम्भ इति सर्वजनाः कथयन्ति वाक्यं मधुरोपचयम् ।	མི་ཕྱེད་པའི་དགེ་བ་ཐོབ་པའོ་ཞེས་འགྲོ་བ་ཐམས་ཅད་མཆིའོ་༎
 एवं गुरुर्ददस्व मे षडक्षरीं महाविद्याराज्ञीं येनाहं क्षिप्रमनुत्तरां सम्यक्संबोधिमभिसंबुद्धो भवेयम् ।	ཚིག་སྙན་པ་བླ་མས་བདག་ལ་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོ་སྩོལ་ཅིག་། དེས་བདག་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མྱུར་དུ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་བགྱིའོ་༎
 द्वादशाकारं धर्मरन्ध्र(चक्र?) मावर्तयेयम् ।	ཆོས་ཀྱི་འཁོར་ལོ་རྣམ་པ་བཅུ་གཉིས་བསྐོར་བར་བགྱིའོ་༎
 सर्वसत्त्वानां सांसारिकं दुःखं परिमोचयेयम् ।	སེམས་ཅན་ཐམས་ཅད་འཁོར་བའི་སྡུག་བསྔལ་ལས་ཡོངས་སུ་ཐར་བར་བགྱིའོ་༎ སྔོན་མ་ཐོས་པའི་ཆོས་ཐོས་པར་བགྱིའོ་༎
 षडक्षरीमहाविद्याराज्ञीलब्धलाभो भवेयम् ।	ཡི་གེ་དྲུག་༄༣༧༢ཨ་༌༎ པའི་རིག་སྔགས་ཆེན་མོའི་རྒྱལ་མོ་འཐོབ་པ་ཐོབ་པར་བགྱིའོ༏།
 ददस्व मे षडक्षरीं महाविद्याराज्ञीम् । त्राता भव,	ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོའི་རྒྱལ་མོ་བདག་ལ་སྩོལ་ཅིག་།
 शरणं परायणम् । अद्वीपानां द्विपो भव ॥	མགོན་དང་། སྐྱབས་དང༏་རྟེན་དུ་གྱུར་ཅིག་། གནས་མ་མཆིས་པ་རྣམས་ཀྱི་གནས་སུ་གྱུར་ཅིག་།
 अथ स धर्मभाणकस्तस्यैतदवोचत् - दुर्लभं षडक्षरिमहाविद्याराज्ञ्या असमवज्रपदम् ।	དེ་ནས་ཆོས་སྨྲ་བ་དེས་དེ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ་༎ ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཆེན་མོའི་རྒྱལ་མོ་ནི་དཀོན་པའི་ཚིག་སྟེ་། འདི་ནི་རྡོ་རྗེའི་ཚིག་གོ་།
 अभेद्यवज्रपदम् ।	འདི་ནི་རྡོ་རྗེ་མི་ཕྱེད་པའི་ཚིག་གོ་།
 अनुत्तरज्ञानदर्शनपदम् ।	བླ་ན་མེད་པའི་ཡེ་ཤེས་ཀྱི་ཚིག་གོ་།
 अक्षयज्ञानपदम् ।	མི་ཟད་པའི་ཡེ་ཤེས་ཀྱི་ཚིག་གོ་།
 निरुत्तरपदम् ।	ལྟག་ན་མེད་པའི་ཚིག་གོ་།
 मोक्षप्रवेशनपदम् ।	ཐར་པར་འཇུག་པར་བྱེད་པའི་ཚིག་གོ་།
 तथागतज्ञानविशुद्धिपदम् ।	དེ་བཞིན་གཤེགས་པའི་ཡེ་ཤེས་རྣམ་པར་དག་པའི་ཚིག་གོ་།
 रागद्वेषमोहसंसारदुःखपरिवर्जनपदम् ।	འདོད་ཆགས་དང་། ཞེ་སྡང་དང་། གཏི་མུག་དང་། འཁོར་བའི་སྡུག་བསྔལ་ཡོངས་སུ་སྤོང་བའི་ཚིག་གོ་།
 सर्वोपायकौशल्यपदम् ।	ཐབས་མཁས་པ་ཐམས་ཅད་ཀྱི་ཚིག་གོ་།
 ध्यानविमोक्षसमाधिसमापूर्तिपदम् ।	བསམ་གཏན་དང་། རྣམ་པར་ཐར་པ་དང་། ཏིང་ངེ་འཛིན་དང་། སྙོམས་པར་གཞོག་པའི་ཚིག་གོ་།
 सर्वधर्मप्रविशनपदम् ।	ཆོས་ཐམས་ཅད་ལ་འཇུག་པར་བྱེད་པའི་ཚིག་གོ་།
 नित्यकालदेवताभिकाङ्क्षिपदम् ।	རྟག་ཏུ་ལྷ་རྣམས་འདོད་པར་བྱེད་པའི་ཚིག་གོ་། རིགས་ཀྱི་བུ་།
 ये च कुलपुत्रा नानास्थानेषु दीक्षन्ते ।	གང་ཐར་པར་འདོད་པ་གནས་སྣ་ཚོགས་སུ་རབ་ཏུ་བྱུང་བ་།
 मोक्षार्थेषु नानापटेषु दीक्षन्ते । तद्यथा इन्द्रपटं श्वेतपटं ध्युषितपटम् ।	བགོ་བ་སྣ་ཚོགས་སུ་རབ་ཏུ་འབྱུང་བ་འདི་ལྟ་སྟེ་། དབང་པོའི་བགོ་བ་དང་། དཀར་པོའི་བགོ་བ་དང་། བསྟེན་པའི་བགོ་བ་སྟེ་། ཉི་མ་བརྟགས་ནས་དབང་ཕྱུག་ཆེན་པོ་ལ་རབ་ཏུ་འབྱུང་ངོ་༎
 दिवसनिरीक्षका महेश्वरेषु दीक्षन्ते । बैल्मवेगरूद्रेषु नग्नश्रमणेषु च । एषु स्थानेषु दीक्षन्ते ।	འཇུག་སྲེད་དང་། ༄༣༧༢བ་ནམ་མཁའ་ལྡིང་དང་། གཅེར་བུ་པ་དང་། རི་མི་དང་། གནས་དེ་དག་ཏུ་རབ་ཏུ་འབྱུང་སྟེ་།
 न तेषां मोक्षं संविद्यते ।	དེ་དག་ལའང་ཐར་པ་མེད་དོ་༎
 अनादिगतिकानामपि नापि नाशो भवति ।	མགོན་ཡང་མ་ཡིན་།
 सर्वदेवगणाश्च ब्रह्मविष्णुमहेश्वराः शक्रश्च देवानामिन्द्रश्चन्द्रादित्यौ वायुवरुणादयो यमश्च धर्मराजो चत्वारश्च महाराजानः,	བརྟུལ་ཞུགས་ཅན་ཡང་མ་ཡིན་ནོ་༎ ལྷ་མང་པོ་དང་། ཚངས་པ་དང་། འཇུག་སྲེད་དང་། དབང་ཕྱུག་ཆེན་པོ་དང་། བརྒྱ་བྱིན་ལྷའི་དབང་པོ་དང་། ཉི་མ་དང་། ཟླ་བ་དང་། རླུང་གི་ལྷ་དང་། ཆུའི་ལྷ་དང་། མེའི་ལྷ་དང་། ཆོས་ཀྱི་རྒྱལ་པོ་གཤིན་རྗེ་དང་། རྒྱལ་པོ་ཆེན་པོ་བཞི་དག་རྟག་ཏུ་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཀྱི་རྒྱལ་མོ་ཆེན་མོ་སློང་ངོ་༎ 
 ते नित्यकालं षडक्षरीं महविद्याराज्ञीं प्रार्थयन्ति ॥	དེ་དག་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཀྱི་རྒྱལ་མོ་ཆེན་མོ་ཇི་ལྟར་བསླང་བར་བགྱི་ངོ་༎ ། བཅོམ་ལྡན་འདས་།
 अथ सर्वनीवरणविष्कम्भी तमाह - कथं वयं षडक्षरीं महाविद्याराज्ञीं लभेमहि येन वयं क्षिप्रवरा भवामः?	ཇི་ལྟར་ན་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཀྱི་རྒྱལ་མོ་ཆེན་མོ་བདག་ཅག་གིས་ཐོབ་པར་འགྱུར་། ཐར་པ་ལ་གཞོལ་བར་འགྱུར་། སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་། འདི་ལྟ་སྟེ་།
 धर्मभाणकस्तमुवाच - तद्यथापि नाम सर्वनीवरणविष्कम्भिन् प्रज्ञापारमितानिर्जाताः सर्वतथागताः ।	དཔེར་ན་།
 तत्प्रज्ञापारमिता सर्वतथागतानां च नेत्रीत्याख्यायते । सापि च षडक्षरीं महाविद्याराज्ञीं प्रणमते कृताञ्जलिपुटा भवन्ती,	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ནི་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་སྐྱེད་པར་གྲགས་པ་སྟེ་། དེའང་ཐལ་མོ་སྦྱར་ནས་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཀྱི་རྒྱལ་མོ་ཆེན་མོ་ལ་ཕྱག་འཚལ་། ན་། 
 प्रागेव तथागता अर्हन्तः सम्यक्संबुद्धा बोधिसत्त्वगणाः ।	དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་བྱང་ཆུབ་སེམས་དཔའ་མང་པོ་དང་བཅས་པ་ལྟ་ཅི་སྨོས་། རིགས་ཀྱི་བུ༏་འདི་ནི་འབྲས་ལྟ་བུར་སྙིང་པོར་གྱུར་པ་ཡིན་ཏེ་།
 इद कुलपुत्र तण्डुलवत्सारं महायानस्य किंचिदसौ बहुमहायानसूत्रं गेयं व्याकरणगाथानिदानेतिवृत्तजातकवैपुल्याद्भुतधर्मोपदेशकः (वैद्य ३००) कुलपुत्र जपितमात्रेण शिवं मोक्षम्,	རིགས་ཀྱི་བུ་། འདི་ལ་ཅུང་ཟད་བཟླས་པས་ཀྱང་ཐེག་པ་ཆེན་པོའི་རྣམ་པ་མང་པོ་མདོ་དང་། དབྱངས་ཀྱིས་བསྙད་པ་དང་། ལུང་བསྟན་༄༣༧༣ཨ་༌༎ པ་དང་། ཚིགས་སུ་བཅད་པ་དང་། ཆེད་དུ་བརྗོད་པ་དང་། གླེང་གཞི་དང་། རྟོགས་པ་བརྗོད་པ་དང་། འདི་ལྟ་བུ་འདས་པ་དང་། སྐྱེས་པའི་རབས་དང་། ཤིན་ཏུ་རྒྱས་པ་དང་། ཆོས་རྨད་དུ་བྱུང་བ་དང་། གཏན་ལ་ཕབ་པ་བསྟན་པ་དང་། ཞི་བ་དང་། ཐར་པའང་ཐོབ་པར་འགྱུར་རོ་༎
 किंबहुना अन्यकुशलमिति ।	མང་དུ་བཤད་ཅི་དགོས་ཏེ་། གཞན་མ་བྱེད་ཅིག་། སའི་ནང་དུ་གཏོགས་པ་ལ་སྙིང་པོར་འཛིན་པ་ཅི་ཡིན་ཞེ་ན་།
 किंवा तु समध्यगतं सारमुपगृह्णन्ति शालिनस्तथा सारमित्यनुगृह्णन्ति,	དེ་ལྟར་འབྲས་ནི་སྙིང་པོར་འཛིན་ཏེ་།
 नीत्वा स्वकीये निवेशने भाण्डानि परिपूर्णानि कृत्वा स्थापयित्वा दिवसानुरूपेण सूर्यतापेन परिशोषयित्वा मुसलप्रहारैर्विभेदयन्ति, ततश्चतुर्वर्षाणि परित्यजन्ति ।	ཁྱེར་ནས་བདག་གི་ཁྱིམ་དུ་སྣོད་རྣམས་ཡོངས་སུ་བཀང་སྟེ་འཇོག་གོ་། བཞག་ནས་ཉི་མའི་ཚུལ་བཞིན་དུ་ཉི་མ་ཚ་བ་ལ་སྐེམས་སོ་༎ བསྐམས་ནས་གཏུན་ལ་བརྡུངས་ཤིང་ཕུབ་མ་རྣམས་སེལ་ཏོ་༎
 किं सारमिति व्यवस्थितम्? तण्डुलसारमिति ।	དེའི་སྙིང་པོ་ནི་འབྲས་རྨེའུ་ཡིན་ནོ་ཞེས་དེ་ལྟར་འཇོག་སྟེ་།
 एवमेवान्ये योगाः तुषसदृशाः ।	དེ་བཞིན་དུ་རྣལ་འབྱོར་གཞན་དག་ཕུབ་མ་དང་འདྲའོ་༎
 सर्वयोगानां चेयं षडक्षरी महाविद्या राज्ञी तण्डुलमिति भूता द्रष्टव्या ।	རྣལ་འབྱོར་ཐམས་ཅད་ཀྱི་ནང་ན་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཀྱི་རྒྱལ་མོ་ཆེན་མོ་འདི་ནི་འབྲས་རྨེའུར་གྱུར་པའོ་༎
 यस्याः कारणेन कुलपुत्र बोधिसत्त्वाः श्रावयन्तो भ्रमन्ति दानपारमितार्थिनः,	རིགས་ཀྱི་བུ་། དེའི་ཕྱིར་བྱང་ཆུབ་སེམས་དཔའ་སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཕྱིར་།
 शीलपारमितार्थिनः,	ཚུལ་ཁྲིམས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཕྱིར་།
 क्षान्तिपारमितार्थिनः वीर्यपारमितार्थिनः,	བཟོད་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཕྱིར་།
 ध्यानपारमितार्थिनः,	བརྩོན་འགྲུས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཕྱིར༏་བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཕྱིར་།
 प्रज्ञापारमितार्थिनः ।	ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཕྱིར་ཚེགས་འབྱིན་ཏོ་༎
 एकजापेन कुलपुत्र षट्पारमिताः परिपूरयन्ति ।	རིགས་ཀྱི་བུ་། བཟླས་པ་གཅིག་བྱས་པས་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་ཡོངས་༄༣༧༣བ་སུ་རྫོགས་པར་འགྱུར་རོ་༎
 यस्य कस्यचिद्वस्त्रस्पर्शनेनापि अवैवर्तिकभूमिं प्रतिलभन्ते ।	ལ་ལ་ཞིག་གིས་ལག་པས་རེག་པས་རེག་ན་དེ་དག་ཀྱང་ཕྱིར་མི་ལྡོག་པའི་ས་འཐོབ་པར་འགྱུར་རོ་༎ རིགས་ཀྱི་བུ་།
 एवमेवास्याः षडक्षरी महाविद्या राज्ञी,	ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཀྱི་རྒྱལ་མོ་ཆེན་མོ་འདིའང་དེ་ལྟ་བུ་སྟེ་།
 दुर्लभमस्या नामग्रहणम् ।	དེའི་མིང་འཛིན་པའང་དཀོན་ནོ་༎
 एकवारनामग्रहणेन सर्वे तथागताश्चीवरपिण्डपात्रशय्यासनग्लानप्रत्ययभैषज्यपरिष्करैः सर्वोपस्थानैरुपस्थिता भवन्ति ॥	མིང་ལན་གཅིག་བཟུང་ན་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ལ་ན་བཟའ་དང་། བཤོས་དང་། མལ་སྟན་དང་། ན་བའི་རྐྱེན་གྱི་སྨན་གྱི་ཡོ་བྱད་དང་། ཡོ་བྱད་ཐམས་ཅད་ཀྱིས་བཀུར་སྟིར་བྱས་པར་འགྱུར་རོ་༎
 अथ सर्वनीवरणविष्कम्भी धर्मभाणकमेतदवोचत् - ददस्व मे षडक्षरिमहाविद्याराज्ञीम् ।	དེ་ནས་ཆོས་སྨྲ་བ་དེ་ལ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་འདི་སྐད་ཅེས་སྨྲས་སོ་༎ ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཀྱི་རྒྱལ་མོ་ཆེན་མོ་བདག་ལ་སྩོལ་ཅིག་།
 अथ स धर्मभाणकः संचिन्त्य संचिन्त्य व्यवस्थितः ।	དེ་ནས་ཆོས་ཀྱི་མཁན་པོ་དེ་སེམས་ཤིང་འདུག་པ་ལས་།
 ततो आकाशे छन्दो (शब्दो?) निश्चरति स्म - ददस्व आर्य षडक्षरीं महाविद्याराज्ञीम् ।	དེ་ལ་ནམ་མཁའ་ལས་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཀྱི་རྒྱལ་མོ་ཆེན་མོ་བྱིན་ཅིག་ཅེས་སྒྲ་བྱུང་ངོ་༎ 
 अयं बोधिसत्त्वभूतो ऽनेकदुष्कराभियुक्तः । पुनः स धर्मभाणकः संचिन्तयति स्म - कुतः शब्दो निश्चरति ।	དེ་ནས་ཆོས་སྨྲ་བ་དེ་སྒྲ་ག་ལས་བྱུང་ཞེས་བསམས་པ་དང་། དེ་ནས་ཡང་ནམ་མཁའ་ལས་བྱང་ཆུབ་སེམས་དཔའ་འདིས་བཀའ་བ་སྤྱོད་པ་དུ་མ་ལ་བརྩོན་པར་བྱས་ཀྱི་། 
 ततः स पुनरप्याकाशाच्छब्दो निश्चरितः - ददस्वार्थ षडक्षरीं महाविद्याराज्ञीम् । अयं बोधिसत्त्वो ऽनेकदुष्कराभियुक्तः ॥	ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཀྱི་རྒྱལ་མོ་ཆེན་མོ་བྱིན་ཅིག་ཅེས་སྒྲ་བྱུང་ངོ་བྱས་ཀྱི་། 
 अथ स धर्मभाणक आकाशं व्यवलोकयति स्म ।	༎ དེ་ནས་ཆོས་སྨྲ་བ་དེས་ནམ་མཁའ་ལ་བལྟས་པ་དང་། འདམ་བུའི་མདའ་བཞིན་དུ་ཁ་དོག་དཀར་བ་། རལ་པའི་ཅོད་པན་འཆང་བ་།
 यावत्पश्यति शरत्काण्डगौरवर्णं जटामुकुटधरं सर्वज्ञशिरसिकृतं शुभपद्महस्तं पद्मश्रियालंकृतं शरीरम् ।	ཐམས་ཅད་མཁྱེན་པ་མགོ་ལ་བཞག་པ་། ལག་པ་ན་མེ་ཏོག་པདམ་བཟང་པོ་ཐོགས་པ་། པདམའི་དཔལ་གྱིས་བརྒྱན་པ་དེ་འདྲ་བའི་གཟུགས་མཐོང་ནས་བྱང་ཆུབ་༄༣༧༤ཨ་༌༎ སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་ལ་། རིགས་ཀྱི་བུ་།
 स तादृशं रूपं दृष्ट्वा सर्वनीवरणविष्कम्भिणं बोधिसत्त्वमेतदवोचत् - अनुज्ञातस्ते कुलपुत्र अवलोकितेश्वरेण बोधिसत्त्वेन षडक्षरीं महाविद्याराज्ञीम् तेन ससंभ्रमेण कृताञ्जलिपुटेन भूत्वा उद्गृहीतुमारब्धः - ॥ ० ॥ + ॥	བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་དབང་པོས་ཡི་གེ་དྲུག་པའི་རིག་སྔགས་ཀྱི་རྒྱལ་མོ་ཆེན་མོ་ཁྱོད་ལ་སྦྱིན་པར་གནང་ངོ་ཞེས་སྨྲས་པ་དང་། གུས་ཤིང་ཐལ་མོ་སྦྱར་ཏེ་ལེན་པར་རྩོམ་མོ་༎
 ॐ मणिपद्मे हूं ॥ + ॥ ० ॥ * ॥ * ॥	ཨཨོམ་མ་ནི་པདམེ་ཧའུམ།
 इयं च समनन्तरदत्तमात्रेण षड्विकारं पृथिवी प्रकम्पिता ।	འདི་བྱིན་མ་ཐག་ཏུ་ས་རྣམ་པ་དྲུག་ཏུ་ག-ཡོས་སོ་༎
 इमे समाधयः सर्वनीवरणविष्कम्भिनः प्रतिलब्धाः । तद्यथापि नाम कुलपुत्र सूक्ष्मजनो नाम समाधिः, मैत्रीकरूणामुदितो नाम समधिः, योगाचारो नाम समाधिः, मोक्षप्रवेशव्यवस्थानो नाम समाधिः, सर्वालोककरो नाम समाधिः,	ཏིང་ངེ་འཛིན་འདི་དག་ཀྱང་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་ཐོབ་སྟེ་།
 व्यूहराजो नाम समाधिः, धर्मधरो नाम समाधिः । इमे समाधयः प्रतिलब्धाः ।	མི་ཟད་པའི་ཆོས་ཉིད་ཅེས་བྱ་བའི་ཏིང་ངེ་འཛིན་དང་། བྱམས་པ་དང་། སྙིང་རྗེ་དང་། དགའ་བ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་དང་། རྣལ་འབྱོར་སྤྱོད་ཅེས་བྱ་བའི་ཏིང་ངེ་འཛིན་དང་། ཐར་པ་ལ་འཇུག་པར་འཇོག་ཅེས་བྱ་བའི་ཏིང་ངེ་འཛིན་དང་། ཐམས་ཅད་སྣང་བར་བྱེད་ཅེས་བྱ་བའི་ཏིང་ངེ་འཛིན་དང་། བཀོད་པའི་རྒྱལ་པོ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་དང་། ཆོས་འཛིན་པ་ཞེས་བྱ་བའི་ཏིང་ངེ་འཛིན་དང་། ཏིང་ངེ་འཛིན་དེ་དག་ཐོབ་བོ་༎
 उद्गृहीतमात्रेण सर्वनीवरणविष्कम्भीणा बोधिसत्त्वेन तस्योपाध्यायस्य दक्षिणोपनामयितुमारब्धा - चत्वारो द्वीपाः सप्तरत्नपरिपूर्णाः ॥	བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་བླངས་མ་ཐག་ཏུ་མཁན་པོ་ལ་ཡོན་དུ་གླིང་བཞི་རིན་པོ་ཆེ་སྣ་བདུན་གྱིས་ཡོངས་སུ་གང་བ་འབུལ་བར་རྩོམ་པ་དང་། 
