	@1b # // rnal 'byor spyod pa'i sa las nyan thos kyi sa /bam po dang po / dkon mchog gsum la phyag 'tshal lo // nyan thos kyis thams cad kyi bsdus pa'i [dd] sdom gyi tshigs su bcad pa ni / rigs dang gang zag rnams dang ni // nges par sbyor dang 'jig rten pa // 'jig rten 'das pa 'di la ni // mdor na sa ni 'di dag go // sdom ni / rigs dang 'jug dang nges 'byung ba'i // ming du byas pa'i sa gsum mo // de dag rnams ni mdor bsdu na //	10.0
tat yaTA vitarka vicArAH prItiH ASvAsa praSvAsAH	rtog pa dang / dpyod pa dang / dga' ba dang / dbugs rngub pa dang / dbugs 'byung ba thams cad spangs par gyur cing /	91.98755871124536
tezAm ca prahANa AdyA tatra upekzA smRtiH ca sA pariSudDA Bavati	de dag spangs pa'i phyir de la btang snyoms dang dran pa gang yod pa de yongs su dag pa dang /	93.94595662992526
paryavadAtA	yongs su byang bar 'gyur te /	62.06899999750072
yena asya etat cittam caturTa DyAna samApannasya aniMjyam santizWate	des na bsam gtan bzhi pa la snyoms bar zhugs pa de'i sems de mi g-yo bar gnas shing /	82.9295661666466
sarva in jita Ayatanam SBsh  tena Aha	g-yo ba thams cad dang bral bas na /	62.18293894661797
upekzA smRti pariSudDam iti	de'i phyir btang snyoms dang dran pa yongs su dag pa zhes bya ba gsungs so //	83.4831248715096
tatra caturTam iti pUrvavat veditavyam	de la bsam gtan bzhi pa bsgrubs te / gnas so zhes bya ba ni /	88.56770345031238
yaTA pramANa Adizu sTAnezu	bsam gtan dang po la sogs pa snga ma dag la ji lta ba bzhin du rig par bya'o / // / nyan thos kyi sa bam po bco brgyad pa / de rnam pa tham cad du gzugs kyi 'du shes rnams las yang dag par 'das te / thogs pa'i 'du shes rnams nub par gyur cing ; sna tshogs kyi 'du shes rnams yid la mi byed pas / nam mkha' mtha' yas so snyam nas / nam mkha' yas skye mched bsgrubs te gnas so zhes gsungs pa de la / de rnam pa thams cad du gzugs kyi 'du zhes rnams las yang dag par 'das te zhes bya ba @172a * // ni nam mkha' mos bar byed pa'i phyir //	10.0
tatra AkASa aDimokzasya varNa saMjQA nIla pIta lohita avadAta Adi pratisaMyukta tAmasAtAm asAtayA nirvirAga tayA ca samatikrAntaH Bavati	kha dog sngon po dang / ser po dang / dmar po dang / dkar po dang ldan pa'i 'du shes de dag ni mi snang zhing skyo la 'dod chags dang bral bas yang dag par 'das pas na / de'i phyir de rnam pa thams cad du gzugs kyi 'du shes rnams las yang dag par 'das te zhes bya ba gsungs so // thos pa'i 'du shes rnams nub par 'gyur cing zhes bya ba ni /	73.42597832900208
tena Aha rUpa saMjQAnAm SBsh samatikramAt anABAsa gamana hetoH yA anekaviDA bahu nAnA prakArA varNa pracaya hetukA AvaraNa saMjQA sA yA sA vigatA Bavati	de de dag las yang dag par 'das shing mi snang bar gyur pa'i rgyus kha dog bsags pa'i rgyur gyur pa'i sgrib ba'i 'du shes rnam pa du ma rnam pa sna tshogs mang po dag dang bral bas na /	79.9981890039824
tena Aha pratiGa saMjQA nAm astaFgamAt	de'i phyir thogs pa'i 'du shes nub par gyur cing zhes bya ba gsungs so // sna tshogs kyi 'du shes rnams yid la mi byed pas zhes bya ba ni / de de dag dang bral bas thogs pa khyad par can rnam pa sna tshogs pa de dag nyid la 'di lta ste /	67.45520083833378
tAsAm vA punar vigama hetoH yAH OpacayikI saMjQAH tezu avaSizwezu viSizwezu saMGAtezu pravRttAH tat yaTA Bojana pAna vastra alaMkAra gRha udyAna tezu sarveNa sarvam ABogaH pyasya na pravartate tena Aha	zas dang / skom dang / bzhon pa dang / gos dang / rgyan dang ; gnas dang / skyed mos tshal dang / nags tshal dang / dmag dang / ri la sogs par bye bar 'dogs pa'i 'du shes 'jug pa gang yin pa'i 'du shes de dag de rnams la gtad kyang rnam pa thams cad kyi thams cad du de la 'byung bar mi 'gyur bas na / de'i phyir sna tshogs kyi 'du shes rnams yid la mi byed pa zhes bya ba gsungs so //	80.35743579131824
nAnAtva saMjQA nAma manasikArAt	nam mkha' mtha' yas so snyam nas zhes bya ba ni nges de ltar gzugs dang / thogs pa dang sna tshogs kyi 'du shes dag rnam par bshig nas /	66.1940115984498
saH evam rUpa pratiGanAnAtu a saMjQA BAvayitvA ananta AkAreNa AkASa aDimuktaH Bavati	nam mkha' mtha' yas pa'i rnam pas mos par byed pas na /	70.37102864386695
tena Aha anantam AkASam aSaMsa	de'i phyir nam mkha' mtha' yas so snyam nas zhes bya ba gsungs so // nam mkha' mtha' yas skye mched bsgrubs te /	68.87686506370275
sAmantakam atikramya prayoga nizWAn manasikArAt ucca prayoga nizWA Palam mOlam samApadyate	gnas so zhes bya ba ni / de nyer bsngogs las yang dag par 'das shing / sbyor ba mthar thug pa'i yid la byed pas gong ma sbyor ba mthar thug pa'i 'bras bu'i dngos gzhi la snyoms par 'jug par byed pas na /	84.62255955982387
tena Aha AkASAnantya Ayatanam upasampadya viharati	de'i phyir nam mkha' mtha' yas skye mched bsgrubs te /	87.51863314971811
tasya yAvat mOlam na samApadyate	gnas so zhes bya ba gsungs so // de ji srid du dngos gzhi la snyoms par mi 'jug pa'i bar du ni / de nam mkha' kho na la dmigs par byed do //	78.32115419758044
tasya AkASam Alambanam samApannasya punar tat ca tad anye ca skanDAH sva BUmikAH sAmantake punar aDas BUmikAH api skanDAH SBsh	snyoms par zhugs nas kyang na mkha' de nyid dang de las gzhan ba rang gis pa'i @172b phung po rnams la dmigs par byed do // nyer bsngogs kyi tshe na ni sa 'og ma'i phung po rnams la yang dmigs par byed do // de rnam pa thams cad du nam mkha' mtha' yas skye mched las yang dag par 'das te / rnam par shes pa mtha' yas so snyam nas / rnam shes mtha' yas skye mched bsgrubs te gnas so zhes gsungs pa de la / de rnam pa thams cad du nam mkha' mtha' yas skye mched las yang dag par 'das te / rnam par shes pa mtha' yas so zhes bya ba ni /	34.02017632211767
samayena vijQAnena anantam AkASam aDimucyate	de rnam par shes bdag gis nam mkha' mtha' yas par mos par byed pa /	84.78670099248407
tat eva vijQAnam ananta AkAra AkASa aDimokzikam vijQAna Ananti Ayatanam samApattu kAmaH	nam mkha' la mtha' yas pa'i rnam par mos par byed pa'i rnam par shes pa de nyid kyis rnam shes mtha' yas skye mched la snyoms bar 'jug par 'dod pas /	90.76871276858549
AkASAnantya Ayatana saMjQAm vyAvartya	nam mkha' mtha' yas skye mched kyi 'du shes las bzlog ste /	90.09153524091688
tat eva vijQAnam ananta AkAreNa aDimucyate sa sAmantake mOlam AkASa Anantya Ayatanam samatikramyate	rnam par shes pa de nyid la mtha' yas pa'i rnam pas mos par byed cing ; nam mkha' mtha' yas skye mched kyi dngos gzhi nyer bsngogs dang bcas pa las yang dag par 'das pas na / de'i phyir de rnam pa thams cad du nam mkha' mtha' yas skye mched las yang dag par na /	81.71690212175292
tena Aha	'das te /	66.73203033871121
sarvaSas AkASAnantya Ayatanam samatikramya anantam vijQAnam iti	rnam par shes pa mtha' yas so snyam nas zhes bya ba gsungs so // rnam par shes pa mtha' yas so snyam nas rnam shes mtha' yas skye mched bsgrubs te gnas so zhes bya ba ni / rnam shes mtha' yas skye mched kyi nyer ba sngogs las yang dag bar 'das shing bya ba ni /	73.93833482633437
sa vijQAnAnanti Ayatanam iti sAmantakam samatikramya yAvat prayoga nizWAt manasikarAt mOla prayoga nizWA Palam samApadyate	/ spyor ba mthar thug pa'i bar du yid la byed pas / sbyor ba mthar thug pa'i 'bras bu'i dngos gzhi la snyoms par 'jug par byed pa na de'i phyir rnam shes mtha' yas skye ma ched bsgrubs te gnas so zhes bya ba gsungs so // de rnam pa thams cad du rnam shes mtha' yas skye mched las yang dag pa 'das te / ci yang med do snyam nas ci yang med pa'i skye mched bsgrubs te /	68.15210193374278
tena Aha	gnas so zhes bya ba gsungs pa ni /	71.42644562440759
vijQAna Ananti Ayatanam upasampadya viharati iti sa vijQAna Ananti AyatanAt uccalitaH vijQAnAt pareNa Alambanam samanvezamANaH na punar laBate	de rnam shes mtha' yas skye mched las bskyod cing rnam par shes pa las gzhan pa'i dmigs pa ci dang yang ldan pa /	68.9240675520282
kiQcana pratisaMyuktam rUpi vE arUpi vA	gzugs can nam / gzugs can ma yin pa yongs su tshol bar byed pa na ma rnyed de / des dmigs pa de ma rnyed pa na /	66.60211611193975
sa tad Alambanam alaBamAnaH sa sAma anta ka mOlam vijQAna Ananti Ayatanam samatikramya na asti kiQcid anyadA lambanam aDimucyate	rnam @173a * // shes mtha' yas skye mched kyi dngos gzhi nyer bsngogs dang bcas pa las yang dag par 'das te / dmigs pa gzhan ci yang med do zhes mos par byed cing /	83.12587541155611
saH akiQcana saMjQA aDimuktaH eva Bavati	de ci yang med pa'i 'du shes kho na la mos par 'gyur te /	85.08442323667961
sa tasya saMjQA aDimokzasya bahulIkAra anvayAt AkiMcanyAyatana sAmantakam samatikramya yAvat prayoga nizWAn	des 'du shes la mos pa de lan mang du byas pa'i rgyus ci yang med pa'i skye mched kyi nyer bsngogs las yang dag par 'das te / sbyor ba mthar thug pa'i bar du yid la byes pas /	93.33453794786519
manasikArAt mOlam prayoga nizWA Pale samApadyate tena Aha	sbyor ba mthar thug pa'i 'bras bu'i dngos gzhi la snyoms par 'jug par byed pas na /	90.94904970089674
sarvaSas vijQAna AnantyAyatanam samatikramya na asti kiQci diti AkiQcanI a Ayatanam upasaMspRSya sampadya viharati iti SBsh	de'i phyir de rnam pa thams cad du rnam shes mtha' yas skye mched las yang dag par 'das te ci yang med do snyam nas / ci yang med pa'i skye mched bsgrubs te gnas so zhes bya ba gsungs so // de rnam pa thams cad du ci yang med pa'i skye mched las yang dag par 'das nas / 'du shes med 'du shes med min skye mched bsgrubs te gnas so zhes bya ba gsungs pa de la / de rnam pa thams cad du ci yang med pa'i skye mched las yang dag par 'das nas zhes / bya ba ni /	61.90942104697507
tena Aha  saMjQI yat uta akiQcani AyatanAt uccalitaH	de ci yang med pa'i skye mched las bskyod cing /	82.09827677408855
AkiQcanya saMjQAyAm OdArika saMjQI AdInava saMjQI AkiQcani Ayatana saMjQAm vyAvarttayati	ci yang med pa'i skye mched kyi 'du shes la rags par 'du shes shing / nyes dmigs su 'du shes pas ci yang med pa'i skye mchad kyi 'du shes las zlog par byed pas na / de'i phyir de rnam pa thams cad du ci yang med pa'i skye mched las yang dag par 'das nas zhes bya ba gsungs so //	73.6072401675442
tena pUrvam AkiQcani Ayatana samApatti kAle akiQcana saMjQA asamatikrAntA	'du shes med ces bya ba ni / de sngon ci yang med pa'i skye mched pa snyoms par 'jug pa'i tshe na ni ci yang gi 'du shes las yang dag par 'das la /	85.2147378850128
etarhi akiMcana saMjQA samatikrAntA Bavati	da ltar ni ci yang med pa'i 'du shes las yang dag bar 'das pas na /	79.41985240893354
tena Aha saMjQI yat uta kiQcana saMjQAyAH vA	de'i phyir 'du shes med ces bya ba gsungs te / 'di lta ste /	67.92998235712872
akiQcana saMjQAyAH vA akiQcana saMjQA vA	ci yang gi 'du shes dang / ci yang med pa'i 'du shes med pa la bya'o ; /'du shes med min zhes bya ba ni /	65.03456038695829
na ca punar sarveNa sarvam sA asya saMjQA nirudDA Bavati	de'i 'du shes 'di ltar te /	60.41522077277855
tat yaTA AsaMjQikA ivA	dper na 'du shes med pa'am /	89.17356807844979
niroDa samApattO vA	'gog pa'i snyoms par 'jug pa dag gi ltar rnam pa thams cad kyi thams cad du 'gags pa ma yin te /	77.54201855770008
na anyatra sUkzmA sA saMjQA nimitta Alambane pravartate	'du shes de phra zhing dmigs pa la mtshan ma med par 'jug pa kho @173b na yin te / yin pas na /	83.81946054600503
na eva saMjQA na asaMjQA	de'i phyir 'di shes med min zhes bya ba gsung so // skye mched bsgrub ste /	66.47202939987183
evam tad Ayatana aDimuktaH sa sAmantaka mOlam AkiQcani Ayatanam samatikramya na eva saMjQAna asaMjQA Ayatana sAmantakasya	gnas so zhes bya ba ni / de de ltar skye mched de la mos par byed pa na / ci yang med pa'i skye mched kyi dngos gzhi nyer bsngogs dang bcas pa las yang dag par 'das shing / 'du shes med 'du shes med min skye mched nyer bsngogs dang bcas pas sbyor ba mthar thug pa'i bar du yid la byas pas /	82.50975026619128
yA vat prayoga nizWAn manasikArAt prayoga nizWA Palam mOlam samApadyate	sbyor ba mthar thug pa'i 'bras bu'i dngos gzhi la snyoms par 'jug bar byed pas na /	82.6288272836606
tena Aha sarvaSas AkiQcani Ayatanam samatikramya na eva saMjQAna asaMjQA Ayatanam upasampadya viharati iti tatra DyAna samApatti kAle aDas rasAtala praveSa vat	de'i phyir de rnam pa thams cad du ci yang med pa'i skye mched la yang dag par 'das nas / 'du shes med 'du shes med min skye mched bsgrubs te gnas so zhes bya ba gsungs so // de la bsam gtan rnams la snyoms par 'jug pa'i tshe na ni /	90.73679039750783
kAya saMpraKyAna liMgam	lus sa'i 'og tu 'bying bar snang ba lta bu'i rtags 'byung ngo //	49.90707182884216
ArUpya samApatti kAle AkASAt patana vat	gzugs med pa dag la snyoms par 'jug pa'i tshe na ni / lus nam mkha' la 'phar ba ltar snang ba'i rtags 'byung te /	80.76992540875901
tatra SamaTA kAlena aDyupekzaNAt samyak prayogaH	de dag la zhi gnas kyi rnam pas btang snyoms su gzhag na yang dag pa'i rab tu sbyor ba yin no //	86.65273042877747
tatra dve acittike samApattI asaMjQA jQi samApattiH niroDa samApattiH ca	de la sems med pa'i snyoms par 'jug pa ni rnam pa gnyis te / 'du shes med pa'i snyoms par 'jug pa dang ; 'gog pa'i snyoms par 'jug pa'o //	93.33101347112705
SBsh  tatra asaMjQA samApattim saMjQA vimuKena manaskAreNa pRTagjanaH eva samApadyate	de la 'du shes med pa'i snyoms par 'jug pa la ni so so'i skye bo kho na snyoms par 'jug par byed do //	85.72816649001066
niroDa samApattim punar AryaH eva	'gog pa'i snyoms par 'jug pa la ni / 'phags pa kho na snyoms par 'jug par mdzad do //	91.07996762818502
tatra dvAByAm manaskArAByAm anayoH samApattyoH samApatti praveSaH Bavati	de la yid la byed pa rnam pa gnyis kyi ni / snyoms par 'jug pa de gnyis la snyoms par 'jug par 'gyur te /	93.17899472484673
tat yaTA saMjQA vimuKena manaskAreNa asaMjQA jQi	'di lta ste / 'du shes la mi phyogs pa'i yid la byed pas ni / 'du shes med pa'i snyoms par 'jug pa la snyoms par 'jug par byed do //	82.89965186815824
samApatteH na eva saMjQAna asaMjQA uccalitena Alambana sannirudDena ca manaskAreNa niroDa samApatteH	'du shes med 'du shes med min skye mched las bskyod cing dmigs pa yang dag par 'gags pa'i yid la byed pas ni 'gog pa'i snyoms par 'jug pa la snyoms par 'jug par byed do //	91.0837350255495
SBsh  tatra saMjQA rogaH	de la 'du shes ni nad do //	71.39815611309476
saMjQA gaNxaH	'du shes ni 'bras so //	79.87631837181422
saMjQA SalyaH mam	'du shes ni zug rdu'o //	87.87322537104288
etat SAntam etat praNItam yat uta asaMjQikam iti	'di lta ste / 'du shes med pa 'di ni zhi ba'o // 'di ni gya nom pa'o zhes bya ba ni /	92.67828105396046
saMjQA vimuKam manaskAram parigRhya utpanna utpannAma saMjQA smRtyamanasikAra anu ramanu cara iti rati	'du shes la mi @174a * // phyogs pa'i yid la byed pa yongs su bzung nas / 'du shes byung ngo cog la dran pa med pa dang / yid la byed pa med par byed pa ste /	87.6678794095373
tasya BAvanA anvayAt prayoga mArge sa cittikA avasTA Bavati	des de bsgoms pa'i rgyus na / sbyor ba'i lam la ni sems dang bcas ba'i gnas skabs su 'gyur la /	94.39033558154813
samanaskAra samApannasya ca punar cittam na pravartate iti	snyoms par zhugs ma thag tu ni sems 'byung bar mi 'gyur bas /	85.44375899358683
saH evam niHsaraNa saMjQA pUrvakeNa manaskAreNa SuBa kRtya vIta rAgasya	de ltar nges par 'byung ba'i 'du shes sngon du btang ba yid la byed pas /	79.60081737906742
bRhat PaleByaH vIta rAgasya	dge rgyas kyi 'dod chags dang bral la / 'bras bu tsha ba dag gi 'dod chags dang ma bral ba'i sems dang / sems las byung ba'i chos rnams su 'gog pa gang yin pa de na /	69.16772048512622
citta cEtasikAnAm DarmANAm niroDaH iyam ucyate asaMjQa jQi samApattiH	'du shes med pa'i snyoms par 'jug pa zhes bya ste /	80.89751515845062
evam ca punar asyAH prAptiH Bavati	de ni de ltar 'thob par 'gyur ro //	79.21883024488177
tatra na eva saMjQAna asaMjQAyatana lABI AryaH pareNa SAntena vihAreNa viharttu kAmaH na eva saMjQAna asaMjQA AyatanAt cittam uccA layati tat cittam uccalitam Alambanam na laBate	de la 'du shes med 'du shes med min skye mched thob pa'i 'phags pa mchog tu zhi ba'i gnas pas gnas par 'dod pa / 'du shes med 'du shes med min skye mched las sems bskyod par byed cing ; de'i sems de de las bskyod pa na dmigs pa mi rnyed de /	86.35295415671507
alaBamAnam niruDyate na pravarttate iti	ma rnyed na 'gag cing 'byung bar mi 'gyur ro snyam nas /	81.02563442502702
yaH evam AkiQcanI Ayatana vIta rAgasya SEkzasya arhataH vA vihAra saMjQA pUrvakeNa manaskAreNa	de ltar ci yang med pa'i skye mched kyi 'dod chags dang bral ba'i slob pa'am dgra bcom pa yang rung ste /	79.36137309427801
citta cEtasikAnAm DarmANAm niroDaH iyam ucyate niroDa samApattiH evam ca punar asyAH prAptiH Bavati	gnas pa'i 'du shes sngon du btang ba'i yid la byed pas sems dang sems las byung ba'i chos rnams 'gog pa gnag yin pa de ni 'gog pa'i snyoms par 'jug pa zhes bya ste / de ni 'di ltar thob par 'gyur ro //	84.22850533813549
tatra DyAna sanniSrayeNa paMcAnAm aBijQAnAm aBinirhAraH Bavati	de la bsam gtan la brten nas mngon par shes pa lnga mngon par 'grub par 'grub te /	88.1602194617083
kaTam ca punar Bavati	ji ltar 'grub ce na / 'di lta ste /	77.82397270202637
yaTA api tad DyAyI lABI Bavati pariSudDasya DyAnasya sa tat pariSudDam DyAnam niSritya yaH anena aBijQA aDipa tayA IpateyaH DarmaH SrutaH Bavati udgRhItaH paryavAptaH SBsh	bsam gtan pa bsam gtan yongs su dag pa thob pa de bsam gtan yongs su dag pa de la brten nas des 'di lta ste /	56.32428649253667
yat uta RdDi vizayam vAraBya	rdzu 'phrul gyi yul lam / sngon gyi gnas rjes su dran pa'am / lha'i rnam ba'am /	63.24874039984353
pUrvenivAsa divya Srotra cyuti upapAda cetaH paryAyam vA tam eva manasi kurvan samAhita BUmikena manaskAreNa arTa pratisaMvedI ca Bavati	'chi 'pho dang skye ba shes pa'am / sems kyi rnam grangs shes pa las brtsams te ; mngon par shes pa'i dbang du byas pa'i chos thos pa dang / bzung ba dang / kun chub par byas pa gang yin pa de nyid mnyam par gzhag pa'i sa ba'i yid la byed pas yid la byed pa na /	81.95602906528252
Darma pratisaMvedI ca	don so so yang dag par rig pa dang / chos so so yang dag par rig par 'gyur te /	81.32880132107795
tasya arTa pratisaMvedinaH DarmaH pratisaMvedinaH taTAH taTA staTA taTA	don so so yang @174b dag par rig pa dang / chos so so yang dag par rig bar gyur pa des /	75.8291590707237
cittAni aBisaMskurvataH bahulIkAra anvayAt Bavati	de ltar de ltar sems mngon par 'dus byas shing lan mang du byas pa'i rgyus na /	80.9742832993387
sa kAlaH Bavati samayaH yat asya BAjava na aPalAH H paMca aBijQAH utpadyante SBsh api ca tasya Asa taTA	de'i bsgoms pa'i 'bras bu mngon par shes pa lnga 'byung bar 'gyur ba'i dus kyang yod skabs kyang yod par 'gyur ro //	70.93444527503117
rTa pratisaMvedI	gzhan yang de ltar don so so yang dag par rig pa dang / chos so so yang dag par rig par gyur pa de /	74.54424613824632
Darma pratisaMvedI sarva aBijQA nirhArAya dvAdaSa saMjQA BAvayati	mngon par shes pa thams cad mngon par bsgrub pa'i phyir 'du shes rnam pa bcu gnyis sgom par byed de /	89.25154452220984
tat yaTA laGu saMjQAm mRdu saMjQAm AkASa DAtu saMjQAm	'di lta ste /	29.93674309437092
kAya citta samavaDAna saMjQAm aDimukti saMjQAm pUrva anuBUta caryA anukrama anusmRti saMjQAm nAnA prakAra Sabda sannipAta nirGoza saMjQAm avadAta rUpa nimitta saMjQAm kleSa kRta rUpa vikAra saMjQAm aDimokza saMjQA mamiBva Ayatana saMjQAm kRtsnA Ayatana saMjQAQca	yang ba'i 'du shes dang / 'jam pa'i 'du shes dang / nam mkha'i khams kyi 'du shes dang / sems dang lus phrad pa'i 'du shes dang / mos pa'i 'du shes dang / snon spyad pa nyams su mongs ba'i go rims rjes su dran pa'i 'du shes dang / rnam pa sna tshogs 'das pa'i sgra skad kyi 'du shes dang / snang ba'i gzugs kyi mtshan ma'i 'du shes dang / nyon mongs pas byas pa'i gzugs rnam par 'gyur ba'i 'du shes dang / rnam par thar pa'i 'du shes dang / zil gyis gnon pa'i skye mched kyi 'du shes dang / zad par gyi skye mched kyi 'du shes so //	74.05483318202593
tatra laGu saMjQAyAm laGukam AtmAnam aDimucyate tat yaTA tUla pinDuH vA	de la yang ba'i 'du shes ni 'du shes gang gis bdag nyid kyi lus 'di lta ste dper na shing bal gyi 'da' ba'am /	82.47032376337425
karpAsa pinDuH vA	ras bal gyi 'da' ba'am / rlung gi dkyil 'khor ltar yang bar mos par byed pa ste /	61.32493883297767
vAyumaNxalake vA sa taTA aDimucyamAnaH tatra prerayati ADimokzikeNa eva manaskAreNa	de de ltar mos par byed pa na / mos pa las byung ba kho na'i yid la byed pas bdag nyid kyi lus 'di lta ste / khri'i steng nas khri'u'i steng du 'am /	88.26104877341282
tat yaTA maQcAt pIWAt maQce	khri'u'i steng nas khri'i steng du'am /	74.94129771452684
evam maQcAt tRNa saMstarakAn maQce	de bzhin du khri'i steng nas rtsva bting ba'i steng du'am / rtsva bting ba'i steng nas khri'i steng de dang de dag tu 'dod bar byed do //	73.69376696404892
tatra mRdu saMjQA mRdukam kAyam aDimucyate	de la 'jam pa'i 'du shes ni / 'du shes gang gis bdag gnyid kyi lus 'di lha ste / dper na /	69.88948280877982
tat yaTA kOSayamvA	shing bal lam /	62.351280689239495
kaccam vA padgamvA	srin bal lam / dar ltar 'jam par mos par byed pa ste /	62.28033049901327
iti iyam mRdu saMjQAyAH laGu saMjQAyAH pozikA anugrAhikA yayA anugRhyamANA laGu saMjQA pRTu vRdDi vEkalya tAm vipula tAm gacCati	de ltar na 'dzam pa'i 'du shes 'di ni yang ba'i 'du shes gso bar byed pa dang / rjes su 'dzin par byed pa yin pas des rjes su zin na yang ba'i 'du shes kyang 'phel zhing rgyas pa dang yangs par 'gyur ro //	83.67137815299525
tatra AkASa DAtu saMjQA yayA saMjQayA laGu tAm ca mRdu tAm ca AtmanaH Dim ucyate	de la nam mkha'i khams kyi 'du shes ni / @175a * // 'du shes gang gis bdag nyid kyi lus yang ba nyid dang / 'jam pa nyid du mos par byas nas /	88.23614515370576
sa ced kvacid gantu kAmaH Bavati tatra yat antarAlam vivanDa caram rUpi gatam gamanAya tat AkASam aDimucyate ADimokzikam kena ca SBsh	gal te gang du 'gro 'dod pa'i bra den 'gro ba la bar chad byed pa'i gzugs kyi rnam pas chod pa de la mos pa las byung ba kho na'i yid la byed pas nam mkhar mos par /	80.9642458572244
manaskAreNa	byed pa'o // de la sems dang lus phrad pa'i 'du shes ni /	60.194908828066104
tatra citta kAya samavaDAna saMjQA yayA cittam vA kAye samavadaDAti kAyam vA citte yena asya kAyaH laGutaraH ca Bavati mRdutaraH ca	'du shes gang gis sems la lus gnas par gtod pa dang / lus la sems gnas par gtod par byed pa ste /	66.48715311909214
karmaNyataraH ca praBAsvarataraH ca citta anvayaH citta pratibanDaH cittam niSritya varttate	des ni de'i lus shin yang ba dang / shin tu 'jam pa dang / shin tu las su rung ba dang / shin tu 'od gsal ba dang / sems kyi rjes su 'gro ba dang / sems dang 'brel ba dang / sems la rten cing 'jug par 'gyur ro //	76.20420199630401
tatra aDimokzika saMjQA yayA saMjQayA BUdU ragam a Asanne aDimucyate Asannam dUre aNu sTUlam sTUlam aNu pRTivI ApaH	de la mos pa'i 'du shes ni /	10.0
ApaH pRTivI evam ekEkena mahABUtena anyonyam karaNIyam	'du shes gang gis rgyang ring po la thag nye ba dang / thag nye ba la rgyang ring po dang / phra mo la rags pa dang / rags pa la phra mo dang / sa la chu dang / chu la sa dang / de bzhin du 'byung ba chen po re re yang gcig la gcig 'khrul par rgya cher mos par byed pa dang /	51.35027998419493
vistareNa taTA anirmitam ca aDimucyate rUpa nirmitam vA Sabda nirmitam vA	de bzhin du sprul pa gzugs sprul pa dang / sgra sprul pa dang / sprul pa'i sgra la mos par byed pa ste /	84.65241416351896
iti ABiH paQca saMjQABiH BAvanAyAH parinizpannABiH anekaviDam RdDizayam pratyanuBavati ekaH BUtvA bahuDA AtmAnam upadarSayati	'du shes rnam pa lnga po de dag bsgom shing yongs su grub pa dag gis rdzu 'phrul gyi yul rnam pa du ma nyams su myong par 'gyur te / 'di lta ste / sprul pa la mos pa'i 'du shes kyis ni bdag nyid gcig tu gyur nas mang por 'gyur bar ston par byed do // 'di lta ste /	83.82765802486405
yat uta aDi mokzikayA nErmANikayAkyA saMjQayA tatra bahuDA punar AtmAnam upadarSayan cEyan= ca ekI Bavati	sprul pa sdud pa la mos par byed pa'i 'du shes kyis ni bdag nyid mang por bsten nas gcig tu 'gyur bar ston par byed do // 'di lta ste /	82.44857667837644
yat uta nirmANa antarDAyikayA aDimukti saMjQayA tiras kuxyam tiras prAkAram asajjamAnena SBsh kAyena gacCati yena gacCati yena gacCati	yang ba dang / 'jam pa dang / nam mkha'i khams dang / sems dang lus phrad pa'i 'di shes kyis yongs su zin par mos pa'i 'du shes kyis ni / lus kyis thogs pa med par rtsig pa la yang thad kar 'gro ba dang / ra ba la yang thad kar 'gro ba dang / ril yang thad kar 'gro ba dang / sa la yang 'di lta ste /	73.40970165028747
pRTivyAm unmajja nimajjanam karoti tat yaTA udake udake BidyamAnena srAtasA gacCati	dper na chu la bya ba bzhin du steng du 'byung ba dang / bye'u zul byed pa dang / chu la yang 'di lta ste /	83.34482901327304
tat yaTA pRTivyAm AkASe paryaFkena AkrAmati	dper na sa la bya bzhin du mi nub par rgyun phyogs su gro ba dang / rnam mkha' la @175b 'di lta ste / dper na 'dab chags bya bzhin du skyil mo krung gis 'gro ba dang / nyi ma dang zla ba 'di ltar rdzu 'phrul che ba /	69.73798057239512
tat yaTA pakzI SakuniH	'di ltar mthu che ba /	59.584184646606445
imO vA sUryAcandramasO= evam mahA rDikO mahA anuBAvO pANinA AmArzwi parAma Arzwi	'di lar gzi brjid che ba 'di gnyis la yang lag pas 'dzin cing /	60.75451599814048
yAvat brahma lokAt kAyena vaSe varttayati laGu mRdvAkASa DAtu citta kAya samavaDAna saMjQayA parigRhItayA aDimukti saMjQayA sarvam etat karoti yaTAyogam veditavyam	kun du nyug par byed pa dang / tshang pa'i 'jig rten gyi bar du las kyis dbang sgyur bar byed pa de dag thams cad ci rigs par byed par rig par bya'o //	67.07584175749766
tatra dviviDa abrahma lokasya kAyena vaSe vartanA gamanena ca	de la tshangs pa'i 'jig rten gyi bar du lus kyis dbang sgyur ba ni rnam pa gnyis te /	70.872538976685
vaSe varttayati yaTA eva aDimuktyA vA brahma lokAt aDas ca rtu kAma tA BUtAnAm tad ekatyasya ca upAdAya rUpasya	'gro bas dang sgyur bar byed pa dang / tshangs pa'i 'jig rten man chad kyi 'byung ba chen po bzhi dang / rgyur byas pa'i gzugs rnams pa ji ltar 'dod pa bzhin du mos pas dbang sgyur bar byed pa'o //	82.65469879925108
tatra pUrva anuBUta carita anukrama anusmRti saMjQA yayA kumAraka BAvam upAdAya yatra asya smRtiH pravarttate na vyAhanyate yatra Arya gataH Bavati sTitaH nizaNNuHNNaH	de la sngon spyad pa nyams su myong ba'i go rims rjes su dran pa'i 'du shes ni / 'du shes gang gis gzhon nu'i gnas skabs nas bzung ste /	64.699232787617
